NAME	CL.ID	MESH
acinar cell	CL:0000622	Acinar Cells
alveolar epithelial cell	CL:0000322	Pneumocytes
amniotic epithelial cell	CL:0002536	Epithelial Cells|Amnion
astrocyte	CL:0000127	Astrocytes
blood vessel endothelial cell	CL:0000071	Endothelial Cells|Blood Vessels
bronchial epithelial cell	CL:0002328	Epithelial Cells|Bronchi
bronchial smooth muscle cell	CL:0002598	Myocytes, Smooth Muscle|Bronchi
cardiac fibroblast	CL:0002548	Fibroblasts|Heart
cardiac myocyte	CL:0000746	Myocytes, Cardiac
cd14+ monocyte derived endothelial progenitor cell	CL:0000576	Monocytes
chondrocyte	CL:0000138	Chondrocytes
ciliated epithelial cell	CL:0000067	Epithelial Cells
corneal epithelial cell	CL:0000575	Epithelial Cells|Cornea
dendritic cell - monocyte immature derived	CL:0000840	Dendritic Cells
endothelial cell of hepatic sinusoid	CL:1000398	Hepatocytes
endothelial cell of lymphatic vessel	CL:0002138	Endothelial Cells|Lymphatic Vessels
enteric smooth muscle cell	CL:0002504	Myocytes, Smooth Muscle|Colon
epithelial cell of malassez	CL:0002166	Epithelial Cells|Jaw
epithelial cell of prostate	CL:0002231	Epithelial Cells|Prostate
fat cell	CL:0000136	Adipocytes
fibroblast of choroid plexus	CL:0002549	Fibroblasts|Choroid Plexus
fibroblast of gingiva	CL:0002552	Fibroblasts|Gingiva
fibroblast of lymphatic vessel	CL:0002554	Fibroblasts|Lymphatic Vessels
fibroblast of periodontium	CL:0002556	Fibroblasts|Periodontium
fibroblast of tunica adventitia of artery	CL:1000306	Fibroblasts|Adventitia
gingival epithelial cell	CL:0002621	Epithelial Cells|Gingiva
hair follicle cell	CL:0002559	Mesenchymal Stromal Cells|Hair Follicle
hepatic stellate cell	CL:0000632	Hepatic Stellate Cells
immature langerhans cell	CL:0001016	Langerhans Cells
keratinocyte - epidermal	CL:0000312	Keratinocytes
keratocyte	CL:0002363	Corneal Keratocytes
kidney epithelial cell	CL:0002518	Epithelial Cells|Kidney
lens epithelial cell	CL:0002224	Epithelial Cells|Lenses
lymphocyte of b lineage	CL:0000945	B-Lymphocytes
macrophage	CL:0000235	Macrophages
mammary epithelial cell	CL:0002327	Epithelial Cells|Mammary Glands, Animal
mast cell	CL:0000097	Mast Cells
melanocyte - light	CL:0002567	Melanocytes
mesenchymal precursor cell	CL:0000134	Mesenchymal Stromal Cells
mesenchymal somatic cell	CL:0000134	Mesenchymal Stromal Cells
mesenchymal stem cell - adipose	CL:0002570	Mesenchymal Stromal Cells|Adipose Tissue
mesenchymal stem cell - amniotic membrane	CL:0002537	Mesenchymal Stromal Cells|Amnion
mesenchymal stem cell - bone marrow	CL:0002540	Bone Marrow Cells
mesenchymal stem cell - hepatic	CL:0002571	Mesenchymal Stromal Cells|Liver
mesenchymal stem cell - umbilical	CL:0002569	Mesenchymal Stromal Cells|Umbilical Cord
mesothelial cell	CL:0000077	Epithelial Cells
migratory langerhans cell	CL:0000453	Langerhans Cells
monocyte	CL:0000576	Monocytes
multipotent cord blood unrestricted somatic stem cell	CL:0002569	Mesenchymal Stromal Cells|Umbilical Cord
myoblast	CL:0000056	Myoblasts
natural killer cell	CL:0000623	Killer Cells, Natural
neuron	CL:0000540	Neurons
neuronal stem cell	CL:0000047	Neural Stem Cells
neutrophil	CL:0000775	Neutrophils
osteoblast	CL:0000062	Osteoblasts
pericyte cell	CL:0000669	Pericytes
placental epithelial cell	CL:0002577	Epithelial Cells|Placenta
preadipocyte	CL:0002334	Fibroblasts|Adipose Tissue
reticulocyte	CL:0000558	Reticulocytes
retinal pigment epithelial cell	CL:0002586	Epithelial Cells|Retinal Pigment Epithelium
sensory epithelial cell	CL:0000098	Epithelial Cells
skeletal muscle cell	CL:0000188	Muscle Fibers, Skeletal
skin fibroblast	CL:0002620	Fibroblasts|Skin
small airway epithelial cell	CL:0002368	Epithelial Cells|Respiratory System
smooth muscle cell of prostate	CL:1000487	Myocytes, Smooth Muscle|Prostate
smooth muscle cell of trachea	CL:0002600	Myocytes, Smooth Muscle|Trachea
stromal cell	CL:0000499	Stromal Cells
t cell	CL:0000084	T-Lymphocytes
tendon cell	CL:0000388	Stromal Cells|Tendons
trabecular meshwork cell	CL:0002367	Endothelial Cells|Trabecular Meshwork
tracheal epithelial cell	CL:0000307	Epithelial Cells|Trachea
urothelial cell	CL:0000731	Epithelial Cells|Urothelium
vascular associated smooth muscle cell	CL:0000359	Myocytes, Smooth Muscle|Muscle, Smooth, Vascular
