acinar cell	alveolar epithelial cell	amniotic epithelial cell	astrocyte	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14+ monocyte derived endothelial progenitor cell	chondrocyte	ciliated epithelial cell	corneal epithelial cell	dendritic cell - monocyte immature derived	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hepatic stellate cell	immature langerhans cell	keratinocyte - epidermal	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	melanocyte - light	mesenchymal precursor cell	mesenchymal somatic cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	natural killer cell	neuron	neuronal stem cell	neutrophil	osteoblast	pericyte cell	placental epithelial cell	preadipocyte	reticulocyte	retinal pigment epithelial cell	sensory epithelial cell	skeletal muscle cell	skin fibroblast	small airway epithelial cell	smooth muscle cell of prostate	smooth muscle cell of trachea	stromal cell	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	vascular associated smooth muscle cell
abortion, spontaneous	0	0	0	3.70414578609457e-05	0.000329553348249118	0	0	0.000101675937886831	0.000446423440329029	0.00101318544998248	5.5131406934503e-05	0.00112043551932404	0	0.000643629040597718	0.000360067377641131	0.000969926629910829	0	0	0	0	0	0	0	0	0	0	0	0	0	8.50085664189077e-05	0	0.00010827660910936	0	0.00145783088681927	0.00128249284241317	0.000124628915842465	0.00029868386671812	0	4.71053024981084e-05	4.71053024981084e-05	0	0	0.00133025216068358	0	0	0.00112043551932404	0	0.00101318544998248	0	0	0.00831388058721679	0.000317620367792843	0.000195819806259393	0.000569547965363932	0.000115087210817165	0.000467723823311971	0.00399807274096811	0	0.000113505567729064	0	0.00112043551932404	0.000154556090887079	0.000208403455447086	9.00501816926077e-05	0	0	0.00111167294787751	0.00495532578683125	0	0	0	0	0.000384913881568612
acute coronary syndrome	0	0	0	0	0.0011780980664938	0	0	0	0.000803524575019201	0.00141839322689026	0	0.000949889992261702	0	0.000298813779669848	7.02098517160012e-05	0	0	0	0	9.52839929892508e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.06091021317527e-05	0.000802707940539108	0	0.000655207058629581	0	9.18510397997183e-05	9.18510397997183e-05	0	0	0.00109060454931655	0	0	0.000949889992261702	0	0.00141839322689026	0	0.000153252322613349	0.000121433020233543	1.72036311885796e-05	0	0.000811567856518622	0	0	0	0	0	0	0.000949889992261702	6.02740536733758e-05	0	0	0	0	6.77393989932634e-05	0.00118269964278386	0	0	0	0	0.000375273465835851
alcohol abuse	0	0.000188629475558816	0	0.000634783597189376	3.62025160711264e-05	6.85079945134321e-05	0	0	0.00070166466819787	0.000428083632343109	0	0.000687127108117628	0	0.000181812242270077	0.000783180728950067	0	0	0	9.54155605596694e-05	0.000225459212346488	0	0	0	0	0	0	0	0	5.43621111043382e-05	5.60308188336937e-05	0	7.13672436144487e-05	0	0.00093343116532461	0.00122101238703465	0	0.000147651310299956	4.06864451567591e-05	0	0	0	0	0.00130522947776354	0	0	0.000687127108117628	5.43621111043382e-05	0.000428083632343109	0	0	0.00104671144800614	0.00354731663511813	6.45343437183802e-05	0.000909623733389535	0.000480422886341059	0	0	0	0.000785544407870354	0	0.000687127108117628	0.000835341877673822	3.43407045559652e-05	0.000148384616660159	0	0	9.15906892810937e-05	0.00118426323064918	0	0	0	0	0
alcoholism	0	0.000188629475558816	0	0.000634783597189376	3.62025160711264e-05	6.85079945134321e-05	0	0	0.00070166466819787	0.000428083632343109	0	0.000687127108117628	0	0.000181812242270077	0.000783180728950067	0	0	0	9.54155605596694e-05	0.000225459212346488	0	0	0	0	0	0	0	0	5.43621111043382e-05	5.60308188336937e-05	0	7.13672436144487e-05	0	0.00093343116532461	0.00122101238703465	0	0.000147651310299956	4.06864451567591e-05	0	0	0	0	0.00130522947776354	0	0	0.000687127108117628	5.43621111043382e-05	0.000428083632343109	0	0	0.00104671144800614	0.00354731663511813	6.45343437183802e-05	0.000909623733389535	0.000480422886341059	0	0	0	0.000785544407870354	0	0.000687127108117628	0.000835341877673822	3.43407045559652e-05	0.000148384616660159	0	0	9.15906892810937e-05	0.00118426323064918	0	0	0	0	0
amyotrophic lateral sclerosis	0	0	0	0.0150179388651625	0.000164954045275241	0	0	0	0.000721921822772565	0.000507138038428572	0	0.0017117226061574	0	0.000276137941942021	5.40682449404106e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000127650108745803	0	0	0	0.000375274322996928	0.0008559155738782	0	0.00011212701752698	0	0.00233422240733909	0.00233422240733909	0	0	0.000907966424197659	0	0	0.0017117226061574	0	0.000507138038428572	0	0.0014162258852668	9.35149430082714e-05	0.0408184057736036	0.00367557362401803	6.57878129928601e-05	0	0.000234113648478515	0	0	8.52208117030806e-05	0	0.0017117226061574	0.00445600685544246	0.000312941681897422	0	0	0	0.00203446471922858	0.00123730084419349	0	0	0	0	0
aortic aneurysm, abdominal	0	0	0	0	0.0016706630431465	0	0	0	0	0.00105360412339141	0	0.000522138653297814	0	0.000133178059969973	5.21529487509331e-05	0	0	0	0	0	0	0.000187101679616095	0	0.00015701542213918	0.00213636201202289	0	0	0	0	0	0	7.84151077889847e-05	0	0.000452475906985008	0.00293545207025213	0	0.000648930395849664	0	6.82283533480656e-05	6.82283533480656e-05	0	0	0.000897697985239959	0	0	0.000522138653297814	0	0.00105360412339141	0	0	0.000225505749055287	7.66747179017439e-05	0	0.00184026363078339	5.55649468251984e-05	0	0	0	0	0	0.000522138653297814	4.47724864162068e-05	0.000150928068000122	0	0	0	5.03178587871811e-05	0.000928255296441239	0	0	0	0	0.00390262396147553
arthritis	0.00122281055767527	0	0	0.000167864087273238	0.00060153507005027	0	0	0.000460773940785378	0.000350151408864934	0.0119988402334973	0.04249428796944	0.00394064193661815	0.000207443866190999	0.00483816966980671	0.000271958256122544	0.00024419462505919	0.000357925275714728	0	0	0.000553624625385235	0	0.000195133152485771	0	0.000163755420976278	0	0.000134296457767298	0	0	0.000436062307684828	0.000706275025336674	0	0.000245343396437258	0	0.0179557477263007	0.0144223393757382	4.70660003094491e-05	0.00348262896343471	4.66234000276309e-05	0.00403816565282016	0.00403816565282016	0.000701079930124369	0	0.0104983610935945	0	0.000607027830471004	0.00394064193661815	0.000436062307684828	0.0119988402334973	0.000607027830471004	0.000148405933732933	0.00395112049854115	0.00240231296160373	0	0.0152796120794625	0.00460703388384448	0.000117756993305172	6.03947459838174e-05	0.000111125875370237	0.000621546526513076	0	0.00394064193661815	0.000548658933121965	0.0016134193189541	0.00044209583353817	0	0	0.00404078973120375	0.0271543775442274	0.000390828783723639	0	0	0	7.26811941938068e-05
arthritis, juvenile rheumatoid	0	0	0	0	0	0	0	0	6.37851542380044e-05	0.00207495539548859	0.000614421350237622	0.000452423347455938	0	0.000740074876186429	0	0.000600528469380668	0	0	0	9.07656748009789e-05	0	0.000239937740970549	0	0.000201355358021977	0	0	0	0	0	7.89493700371204e-05	0	0	0	0.00348150953604515	0.00114696591114767	0	0.000208045825065243	0	0.000349982041979853	0.000349982041979853	0	0	0.00176891849458764	0	0	0.000452423347455938	0	0.00207495539548859	0	0	0.00115674728554479	4.91635314034776e-05	0	0.00191236500162885	0.000213768168929467	0	0	0	0	0	0.000452423347455938	0.000114831777783946	0.000193548982346407	8.3631631679632e-05	0	0	0.000258108925428006	0.00593068000061385	0	0	0	0	0
arthritis, psoriatic	0	0	0	0	0	0	0	0	0	0.00182112740230783	0	0.000928846455015991	0	0.00103127280577015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000231263993060272	0.00178772181138896	0	0	0	0.00116792535308251	0.00164265983531518	0	0.000628129241246928	0	0	0	0	0	0.00127159420112939	0	0	0.000928846455015991	0.000231263993060272	0.00182112740230783	0	0	0.00113504180259636	4.947796423825e-05	0	0.00122846541865068	0.000107567677866405	0	0	0	0	0	0.000928846455015991	0	0.000438270422107383	0	0	0	0.00019481977520735	0.00429996675158874	0	0	0	0	0
arthritis, rheumatoid	0.00180534299102176	0	0	4.13054242813578e-05	0.000734978678424207	0	0	0.000283450490082394	0.000325492945041855	0.0130363456673738	0.00501043809618231	0.00378626342801057	0.000306267661419577	0.00452846724948281	0.000220833767465267	0.00018026302276696	0.000528436628033032	0	0	0.000217963953249129	0	0.000144046134924572	0	0.000120883279771227	0	0.000198273695976401	0	0	0.000551826183811611	0.000568765125281706	0	0.000271666558469332	0	0.021017289330479	0.0121030940095771	0	0.00293514736933664	3.44171171606123e-05	0.00170715193416345	0.00170715193416345	0.000414026434446983	0	0.0108893720233403	0	0.000298736227569436	0.00378626342801057	0.000551826183811611	0.0130363456673738	0.000298736227569436	8.76419035177941e-05	0.00397573129289153	0.00112157859231389	0	0.014118995882871	0.00192502928340724	8.69275134945898e-05	8.91660860073951e-05	8.20324615949593e-05	0.000727786551839772	0	0.00378626342801057	0.000310225609369486	0.00165580351660199	0.00057739292034594	0	0	0.00238243571670238	0.0265184951611087	0	0	0	0	5.36528261443606e-05
