acinar cell	adipocyte - breast	adipocyte - omental	adipocyte - perirenal	adipocyte - subcutaneous	alveolar epithelial cell	amniotic epithelial cell	amniotic membrane cell	astrocyte	astrocyte - cerebellum	astrocyte - cerebral cortex	basophil	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14-cd16+ monocyte	cd14+ monocyte	cd14+ monocyte derived endothelial progenitor cell	cd14+cd16- monocyte	cd14+cd16+ monocyte	cd4+ t cell	cd4+cd25-cd45ra- memory conventional t cell	cd4+cd25-cd45ra+ naive conventional t cell	cd4+cd25+cd45ra- memory regulatory t cell	cd4+cd25+cd45ra+ naive regulatory t cell	cd8+ t cell	chondrocyte	chorionic membrane cell	ciliated epithelial cell	corneal epithelial cell	dendritic cell	dendritic cell - monocyte immature derived	dendritic cell - plasmacytoid	endothelial cell - aortic	endothelial cell - artery	endothelial cell - microvascular	endothelial cell - thoracic	endothelial cell - umbilical vein	endothelial cell - vein	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of esophagus	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast - dermal	fibroblast - skin dystrophia myotonica	fibroblast - skin normal	fibroblast - skin spinal muscular atrophy	fibroblast - skin walker warburg	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of pulmonary artery	fibroblast of the conjuctiva	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hair follicle dermal papilla cell	hair follicle outer root sheath cell	hepatic stellate cell	hepatocyte	immature langerhans cell	intestinal epithelial cell	iris pigment epithelial cell	keratinocyte	keratinocyte - epidermal	keratinocyte - oral	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	mast cell - stimulated	melanocyte	melanocyte - dark	melanocyte - light	meningeal cell	mesenchymal precursor cell	mesenchymal precursor cell - adipose	mesenchymal precursor cell - bone marrow	mesenchymal precursor cell - cardiac	mesenchymal somatic cell	mesenchymal stem cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesenchymal stem cell - wharton's jelly	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	nasal epithelial cell	natural killer cell	neuron	neuronal stem cell	neutrophil	olfactory epithelial cell	osteoblast	pancreatic stromal cell	pericyte cell	placental epithelial cell	preadipocyte	preadipocyte - breast	preadipocyte - omental	preadipocyte - perirenal	preadipocyte - subcutaneous	preadipocyte - visceral	prostate stromal cell	renal cortical epithelial cell	renal epithelial cell	renal glomerular endothelial cell	renal mesangial cell	renal proximal tubular epithelial cell	respiratory epithelial cell	reticulocyte	retinal pigment epithelial cell	salivary acinar cell	sebocyte	sensory epithelial cell	sertoli cell	skeletal muscle cell	skeletal muscle cell differentiated into myotubes	skeletal muscle satellite cell	skin fibroblast	small airway epithelial cell	smooth muscle cell - aortic	smooth muscle cell - brachiocephalic	smooth muscle cell - brain vascular	smooth muscle cell - carotid	smooth muscle cell - coronary artery	smooth muscle cell - internal thoracic artery	smooth muscle cell - pulmonary artery	smooth muscle cell - subclavian artery	smooth muscle cell - umbilical artery	smooth muscle cell - umbilical vein	smooth muscle cell of prostate	smooth muscle cell of the esophagus	smooth muscle cell of trachea	stromal cell	synoviocyte	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	uterine smooth muscle cell	vascular associated smooth muscle cell
abortion, habitual	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136689806444908	0.00136689806444908	0.00136689806444908	0.00136689806444908	0.00136689806444908	0.00596056932645815	0.00596056932645815	0.00443999266864211	0.00443999266864211	0.00443999266864211	0.00161740056117339	0	0	0.000492121174630407	0	0.000387025311996242	0.000387025311996242	0.000387025311996242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153408327139617	0.000466519443919694	0	0	0	0	0	0	0	0	0	0.000954430563224611	0	0	0	0	0	0.000954430563224611	0	0	0	0.000492121174630407	0	0.00136689806444908	0	0	0	0.0116649882548558	1.85685343772321e-05	0	0.000184411810054397	0	0	0	0	0.00168287736669544	0	0	0	0.000124201133699489	0	0.000124201133699489	0	0	0	0	0.000155368534657429	0	0	0	0	0	0	0.000492121174630407	0	6.50560817899992e-05	5.91459785037829e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000950478273246626	0	0.00556375603522131	0	0	0	0	0.00183076504579678	0
abortion, spontaneous	0	0	0	0	0	0	0	0	3.70414578609457e-05	0	0	0.000145830569074319	0.000329553348249118	0	0	0.000101675937886831	0.000446423440329029	0.00101318544998248	0.00101318544998248	0.00101318544998248	0.00101318544998248	0.00101318544998248	0.00505304122746396	0.00505304122746396	0.00409988642076648	0.00409988642076648	0.00409988642076648	0.00140450625819081	5.5131406934503e-05	0	0.00112043551932404	0	0.000643629040597718	0.000643629040597718	0.000643629040597718	0	0.0001930742862055	0	0	0	0.000210339757820431	0.000360067377641131	0.000969926629910829	0	0	0	0	0	0	0.000208403455447086	0.000208403455447086	0.000208403455447086	0.000208403455447086	0	0	0	0	0	0	0	0	0	0	0	0	0.000360067377641131	0	6.04293229586891e-05	0	8.50085664189077e-05	8.50085664189077e-05	0	0	0.00010827660910936	0	0.00145783088681927	0.00128249284241317	0.000124628915842465	0.00029868386671812	0.00029868386671812	0	0	0	0	4.71053024981084e-05	0	0.00133025216068358	0	4.71053024981084e-05	4.71053024981084e-05	0	0	0.00133025216068358	0	0	0	0.00112043551932404	0	0.00101318544998248	0	0	0	0.00831388058721679	0.000317620367792843	0.000195819806259393	0.000569547965363932	0	0.000115087210817165	0	0.000467723823311971	0.00399807274096811	0	0	0	0.00122453690566164	0	0.00122453690566164	0	0	0	0	0.000147645863094063	0	9.00501816926077e-05	0.000113505567729064	0	0	0	0.00112043551932404	0.000151489573724423	0.000154556090887079	0.000477751830793165	0	0.000208403455447086	9.00501816926077e-05	0	0	0.000587055361079384	0	0	0	0	0	0	0	0	0	0	0.00111167294787751	0	0.00495532578683125	0	0	0	0	0.000869882971816332	0.000384913881568612
acne vulgaris	0	0	0	8.49596489572561e-05	0	0	0	0	0	0	0	0.000253545327436391	0	0	0	0	0	0.000767856914820862	0.000767856914820862	0.000767856914820862	0.000767856914820862	0.000767856914820862	0.000389673513001366	0.000389673513001366	0.000207616992895529	0.000207616992895529	0.000207616992895529	0.000230369433449756	0	0	0.00147372116659116	0	0.000213149033980598	0.000213149033980598	0.000213149033980598	0	0	0	0	0	0	6.26023759920031e-05	0	0	0	0.000424100567050319	0.000251687687191324	8.49596489572561e-05	0.000318996939797924	0.000634088687302156	0.000634088687302156	0.000634088687302156	0.000634088687302156	0	0	0	0	0	0	0	0.000309138522338305	0	0	0.00240012194888591	0	6.26023759920031e-05	0.000430190021452496	0.000210128405499288	0	0.00428615360543014	0.00428615360543014	0	0	0	0	7.24179361788981e-05	0.000440450345113851	0	0.000194737716689956	0.000194737716689956	0.000643937564573911	0.000643937564573911	0.000643937564573911	0	0	0	0.000630767899402486	0	0	0	0	0	0.000630767899402486	0	0	0	0.00147372116659116	0.000430190021452496	0.000767856914820862	0	0	0	0.000162413010525678	6.13582374423251e-05	0	0.0020566375337069	0	0	0	0	0	0	0	0	0.000410412717413144	0	0.000410412717413144	0	0	0	0	0	0	0.00015656390116206	0.000197344126944004	0	0	0	0.00147372116659116	0	0	0	0	0.000634088687302156	0.00015656390116206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000557120819398952	0	0	0	0	0	0
acquired hyperostosis syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000192950304324955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000420880826016872	0.000420880826016872	0	0	0	0	0.000206222264644254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000192950304324955	0	0	0	0	0	0	0	0	0.000433823822734327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000192950304324955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000113321094507674	0	0	0	0	0	0
acquired immunodeficiency syndrome	0	0	0	0.000153996099642009	0	0	0	0	0.00140079108793562	0.00022183018118435	0.000393751116848845	0.000321699705575677	3.46185223474388e-05	0	0	0	8.65760320892647e-05	0.00602568194658237	0.00602568194658237	0.00602568194658237	0.00602568194658237	0.00602568194658237	0.0266087798533776	0.0266087798533776	0.00928261575273837	0.00928261575273837	0.00928261575273837	0.0110069570593519	0	0	0.00192206209389289	6.92430462590283e-05	0.0032260185196634	0.0032260185196634	0.0032260185196634	0	6.08455037149402e-05	0	0	0	0	9.07774158618875e-05	0	0	0.000425305333991966	0	0.000273722332644396	0.000153996099642009	0	6.56763439182964e-05	6.56763439182964e-05	6.56763439182964e-05	6.56763439182964e-05	0	0	0	0	0	0	0	0	0	0	0.000124297466361964	0	9.07774158618875e-05	0.00265116197104991	0.00015234975788172	0	0.00032147558199468	0.00032147558199468	0.000716290902787538	0	0	0	0.00547367756165732	0.00533897345612039	0	0.00037650938774202	0.00037650938774202	3.89062629826569e-05	3.89062629826569e-05	3.89062629826569e-05	0.000502506951659468	5.93791315140004e-05	0	0.00514492572248104	0	5.93791315140004e-05	5.93791315140004e-05	0	0	0.00514492572248104	0	0	0	0.00192206209389289	0.00265116197104991	0.00602568194658237	0	4.95366728516445e-05	0	0.00541671083209907	0.000934220028556773	0	0.00212623726841175	0	2.41790848173491e-05	0	0.000196531550545984	0	0	0	0	0.000474239813185003	0	0.000474239813185003	0	0	0	0	0.000279175039450575	0	0.000198649138664368	0.000107310562871759	0	0	0	0.00192206209389289	9.54809633325629e-05	0.000136379222131299	0.000141702487517126	0.000110522469570364	6.56763439182964e-05	0.000198649138664368	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197062331642837	0	0.028087579309418	0	0	0	0	0	0
acromegaly	0	0	0	9.6465775463786e-05	0.000633503453260175	0	0	0	0	0	0	0.000143941547114185	0	0	0	0	0.000406745240211442	0.000153855555810467	0.000153855555810467	0.000153855555810467	0.000153855555810467	0.000153855555810467	4.02224714595625e-05	4.02224714595625e-05	0	0	0	0.000104627391066854	0	0	0.00040390191647451	0	0	0	0	0	0	0	0	0	0	7.10806461663035e-05	0	0	0	0	0	9.6465775463786e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.10806461663035e-05	0	0.000119293098737118	0	0	0	0	0	0.000106874043833267	0	8.22255324348033e-05	0.000156281484122819	0	7.37037134024053e-05	7.37037134024053e-05	0	0	0	0	0	0	0.000149206896303937	0	0	0	0	0	0.000149206896303937	0	0	0	0.00040390191647451	0	0.000153855555810467	0	0	0	0.000122939122262223	0.000313506059979637	0	8.64877390149094e-05	0	0.000302923797723766	0	0	0	0	0	0	0.000232997555494709	0	0.000232997555494709	0	0.000205952992679212	0	0	0	0	0	0	0	0	0	0.00040390191647451	0	0.000305108085080145	0.000388346209038932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85795530637882e-05	0	0.000135551134811686	0	0	0	0	0	0
acute coronary syndrome	0	0	0	9.52839929892508e-05	0	0	0	0	0	0	0	0	0.0011780980664938	0	0	0	0.000803524575019201	0.00141839322689026	0.00141839322689026	0.00141839322689026	0.00141839322689026	0.00141839322689026	0.00158918856771211	0.00158918856771211	0.00116423362962926	0.00116423362962926	0.00116423362962926	0.000155018433464628	0	0	0.000949889992261702	0	0.000298813779669848	0.000298813779669848	0.000298813779669848	0	0.000752954466103927	0	0	0.000245213289912842	0.000820286653198048	7.02098517160012e-05	0	0	0	0	0	9.52839929892508e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.02098517160012e-05	0	0	0	0	0	0	0	0	0	4.06091021317527e-05	0.000802707940539108	0	0.000655207058629581	0.000655207058629581	0	0	0	0	9.18510397997183e-05	0	0.00109060454931655	0	9.18510397997183e-05	9.18510397997183e-05	0	0	0.00109060454931655	0	0	0	0.000949889992261702	0	0.00141839322689026	0	0.000153252322613349	0	0.000121433020233543	1.72036311885796e-05	0	0.000811567856518622	0	0	0	0	0	0	0	0	2.87678937653448e-05	0	2.87678937653448e-05	0	0	0	0	0	0	0	0	0	0	0	0.000949889992261702	0	6.02740536733758e-05	0.000657580558461983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.77393989932634e-05	0	0.00118269964278386	0	0	0	0	0	0.000375273465835851
acute pancreatitis	0.0227242385148769	0	0	0.000438650408242828	0.000261879546078107	0.00023354225247682	0	0	6.04558387787478e-05	0	0	0	8.96447082146809e-05	0	0	0	0	0.00146282917153401	0.00146282917153401	0.00146282917153401	0.00146282917153401	0.00146282917153401	0.00186225593805581	0.00186225593805581	0.00107193567545919	0.00107193567545919	0.00107193567545919	0.00086502365658523	0	0	0.0014231879009591	0	0.000325147091203666	0.000325147091203666	0.000325147091203666	0	0	0	0	0	0	0.000411369411801064	0	0	0	0	0	0.000438650408242828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000264434528981902	0.000411369411801064	0.000201917274685054	0.000789019788586933	0	3.46858930709939e-05	3.46858930709939e-05	0	0	8.83598216949047e-05	0	0.00260028363293361	0.00213193549157768	0	0.000914035823045425	0.000914035823045425	0	0	0	0	0.000230643506322601	0	0.00138162285189377	0	0.000230643506322601	0.000230643506322601	0	0	0.00138162285189377	0.000335448859334074	0.00021861958236149	0	0.0014231879009591	0.000201917274685054	0.00146282917153401	0.00021861958236149	6.41376390815293e-05	0	0.000355746586025864	0.000496792600452528	0	0.00377189501532721	0	3.13058856411537e-05	0.00250193339283805	0	0	0	0	0	0.000553824038524886	0	0.000553824038524886	0	0	8.63752471372242e-05	0	0	0	0.000330687128875847	9.26269469317172e-05	0	0	0	0.0014231879009591	0	2.5225297956737e-05	0	0	0	0.000330687128875847	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000453593921464126	0	0.00240948488489445	0	0	0	0	0	0
addison disease	0	0	0	0	0	0	0	0	9.76597533583767e-05	0	0.000205885288430377	0	0	0	0	0	0	0.000136987798115616	0.000136987798115616	0.000136987798115616	0.000136987798115616	0.000136987798115616	0.000483471883146153	0.000483471883146153	0.000419780387644441	0.000419780387644441	0.000419780387644441	0.000139735050671353	0	0	0.000539430967257503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000412091570499196	0.000412091570499196	0.000412091570499196	0.000412091570499196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011206248497272	0.00011206248497272	0	0	0	0	0.000768713830753953	0.00025046597316692	0	9.84349511340791e-05	9.84349511340791e-05	0.000976482066950823	0.000976482066950823	0.000976482066950823	0	0	0	0.000119563909620323	0	0	0	0	0	0.000119563909620323	0	0	0	0.000539430967257503	0	0.000136987798115616	0	0	0	8.20956362556461e-05	0.000209351417111408	0	0.000288771622575796	0	0.000101142425021001	0	0	0.0016865461365265	0	0	0	0.00035007721690078	0	0.00035007721690078	0	0	0	0	0	0	0	0	0	0	0	0.000539430967257503	0	0	0	0	0.000412091570499196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000935348732054921	0	0	0	0	0	0
adenoma of large intestine	0.00132807729623874	0	0	0.000429488496806331	0	0.000838435954003556	0.000127338758194139	0	0.000151929014243805	0	0	0.000555413633633787	0.00035401508815578	0.000609020043835407	0	5.95761996249522e-05	0.000201214024077635	0.000441445347639094	0.000441445347639094	0.000441445347639094	0.000441445347639094	0.000441445347639094	0.00096703187320602	0.00096703187320602	0.000746344244619104	0.000746344244619104	0.000746344244619104	0.00136642276891345	0.000129215221355133	0	0.00727299124266328	0	0.000736300002857893	0.000736300002857893	0.000736300002857893	0	5.65651640716943e-05	0.000124823590942687	0	0	0	0.00101269722994594	0.000189440240978945	0	0.000263590728747255	0.000714638526534689	0.000424111005491749	0.000429488496806331	0	0.000946370571521075	0.000946370571521075	0.000946370571521075	0.000946370571521075	0	7.56897729033256e-05	0	6.35187330675999e-05	0	0	0	0	0	0	0.000462213715011714	0	0.00101269722994594	0.000434939804771723	0.00410733689782316	0	0.000224145391980387	0.000224145391980387	0.000221967168020943	0	0.000444106669597127	0	0.000842001387081547	0.00207812926526513	0.000438151876850325	0.000700045656354098	0.000700045656354098	0.000940401745096287	0.000940401745096287	0.000940401745096287	0	0.000193206817103693	0	0.000566873145646627	0	0.000193206817103693	0.000193206817103693	0	0	0.000566873145646627	0	0	0	0.00727299124266328	0.000434939804771723	0.000441445347639094	0	9.21037663044637e-05	0	0.000985237400699121	0.000703071285120809	0.000114739043579947	0.00052625401515625	0	0.000202303282027863	0.00134732209407315	0.000548118039451866	0.000187411090318033	0.000172417493661306	0.000164991698779374	0	0.0024983094913793	0	0.0024983094913793	0	6.11301025766499e-05	0.000310094263319565	0	0	9.51136713158155e-05	0.00168845379539163	0	0	0.000428783115920813	0	0.00727299124266328	0.000576966647898323	0.000217346161901696	0.000214067826632745	0	0.000946370571521075	0.00168845379539163	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028904802905057	0	0.00168981618591821	0	0	0.000168984403516499	0	0	0
