acinar cell	alveolar epithelial cell	amniotic epithelial cell	astrocyte	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14+ monocyte derived endothelial progenitor cell	chondrocyte	ciliated epithelial cell	corneal epithelial cell	dendritic cell - monocyte immature derived	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hepatic stellate cell	immature langerhans cell	keratinocyte - epidermal	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	melanocyte - light	mesenchymal precursor cell	mesenchymal somatic cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	natural killer cell	neuron	neuronal stem cell	neutrophil	osteoblast	pericyte cell	placental epithelial cell	preadipocyte	reticulocyte	retinal pigment epithelial cell	sensory epithelial cell	skeletal muscle cell	skin fibroblast	small airway epithelial cell	smooth muscle cell of prostate	smooth muscle cell of trachea	stromal cell	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	vascular associated smooth muscle cell
abortion, spontaneous	1	1	1	0.999999999999923	0.993340617283504	1	1	0.981781323885382	0.999993867590768	0.999068083544206	0.999998790525437	1	1	0.999959839990432	0.999998245856377	0.00765562231387419	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999997356535	1	0.99998894308701	1	0.997247934548239	0.999999999999877	0.930455012604195	0.999999344997546	1	0.999999992172845	0.999999992172845	1	1	0.999999999999995	1	1	1	1	0.999068083544206	1	1	3.83828403699952e-118	1	0.929170468988697	0.999999999999993	0.999999999745803	0.243346507793791	1.86339514636904e-21	1	0.999963861166012	1	1	0.999999999999976	0.999828218037046	0.999999971264956	1	1	0.675204271490652	1.96264878120914e-10	1	1	1	1	0.65255596793692
acute coronary syndrome	1	1	1	1	0.00128504583278855	1	1	1	0.219604353543602	0.00449518201262044	1	0.999999999997238	1	0.989917570118676	0.999775209426204	1	1	1	1	0.989535518781663	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999999999879	0.998294587723245	1	0.380584276914162	1	0.992606067733014	0.992606067733014	1	1	0.951765651122153	1	1	0.999999999997238	1	0.00449518201262044	1	0.828356187390558	0.999838270125119	1	1	0.808436713964688	1	1	1	1	1	1	0.999999999997238	0.999988808508648	1	1	1	1	0.999879589900574	0.999841517086617	1	1	1	1	0.32844177236129
alcohol abuse	1	0.687941291726144	1	0.999999999270426	0.999999999999982	0.999853615876777	1	1	0.999999999923249	1	1	1	1	1	0.999999959290767	1	1	1	0.989448702630623	0.99999999997034	1	1	1	1	1	1	1	1	0.999999187144966	1	1	0.999999999999754	1	1	1	1	1	0.9999999999866	1	1	1	1	1	1	1	1	0.999999187144966	1	1	1	0.999999944377133	1	0.99995227939193	1	0.999999999993759	1	1	1	0.958785380782967	1	1	0.999999999991565	0.999999999999999	0.999999999999999	1	1	1	1	1	1	1	1	1
alcoholism	1	0.687941291726144	1	0.999999999270426	0.999999999999982	0.999853615876777	1	1	0.999999999923249	1	1	1	1	1	0.999999959290767	1	1	1	0.989448702630623	0.99999999997034	1	1	1	1	1	1	1	1	0.999999187144966	1	1	0.999999999999754	1	1	1	1	1	0.9999999999866	1	1	1	1	1	1	1	1	0.999999187144966	1	1	1	0.999999944377133	1	0.99995227939193	1	0.999999999993759	1	1	1	0.958785380782967	1	1	0.999999999991565	0.999999999999999	0.999999999999999	1	1	1	1	1	1	1	1	1
amyotrophic lateral sclerosis	1	1	1	6.26277058229488e-245	0.98387680656999	1	1	1	0.688576532466017	0.999101951678488	1	0.999999998999822	1	0.999898756146047	0.999999295838112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999569783976345	1	1	1	0.999999989499561	0.999999501331106	1	0.999973092939618	1	7.06887952666888e-11	7.06887952666888e-11	1	1	0.999999778281483	1	1	0.999999998999822	1	0.999101951678488	1	6.45702538112058e-05	0.999999881940684	8.39516345413446e-320	1.05201920057182e-19	0.999999999999999	1	0.53007985271876	1	1	0.99665531767487	1	0.999999998999822	6.80958113477112e-36	0.904980104137536	1	1	1	2.37352020837492e-07	0.999999999932058	1	1	1	1	1
aortic aneurysm, abdominal	1	1	1	1	5.24413748780012e-06	1	1	1	1	0.614652325904715	1	1	1	0.99999981896785	0.999999756016281	1	1	1	1	1	1	0.693462674826566	1	0.81343821157444	0.00902795673696732	1	1	1	1	1	1	0.99880914664248	1	0.999999954887484	1.87040082963132e-07	1	0.752598828206956	1	0.999862849156562	0.999862849156562	1	1	0.999999981360301	1	1	1	1	0.614652325904715	1	1	0.999987347274244	1	1	0.00734415513479755	0.999998504045045	1	1	1	1	1	1	0.999999998938824	0.994241024087025	1	1	1	0.999999921305037	1	1	1	1	1	5.90236207709519e-22
arthritis	0.000562284887467706	1	1	1	1	1	1	0.999789860164028	1	9.85391937879547e-217	8.39516345413446e-320	1	0.999999441064589	1.76691999596505e-09	1	0.766036783506682	0.370769503486805	1	1	1	1	0.999972084009749	1	0.999999950430548	1	0.998980267664709	1	1	0.999999903547431	1	1	1	1	8.39516345413446e-320	4.48815248036845e-231	0.999999992869103	0.00457198772246269	1	1.16725199640066e-14	1.16725199640066e-14	0.336186520543521	1	1.09464937783753e-51	1	0.220938304533583	1	0.999999903547431	9.85391937879547e-217	0.220938304533583	0.999999999999999	0.0189661576749581	1	1	8.39516345413446e-320	1.17473349034801e-15	0.999918823027299	0.99998871875692	0.999979285124255	0.999999999999984	1	1	1	0.994728980286547	1	1	1	1.47155024173637e-05	8.39516345413446e-320	0.295089663528098	1	1	1	0.999999999999296
arthritis, juvenile rheumatoid	1	1	1	1	1	1	1	1	0.999962022746739	2.75366095195878e-07	0.206416457052694	1	1	0.511245201041417	1	0.108420806734198	1	1	1	0.993429194730937	1	0.512721474980893	1	0.6397088040693	1	1	1	1	1	0.998696293969642	1	1	1	4.16618350486962e-21	0.915869456871735	1	0.991483447528283	1	0.787466658160497	0.787466658160497	1	1	0.0856161246421623	1	1	1	1	2.75366095195878e-07	1	1	0.0278008763118911	1	1	5.33302610407243e-05	0.987804671463522	1	1	1	1	1	1	0.999952537137998	0.934767298381851	0.997312972518606	1	1	0.989226382021063	1.00228379902327e-56	1	1	1	1	1
arthritis, psoriatic	1	1	1	1	1	1	1	1	1	7.18101651521085e-07	1	0.999264461477529	1	0.0124585272675239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.538757679332057	4.57347702445125e-07	1	1	1	0.0233249982479114	0.000955753891694411	1	0.180750037095936	1	1	1	1	1	0.0919710017246435	1	1	0.999264461477529	0.538757679332057	7.18101651521085e-07	1	1	0.00396814443692	1	1	0.00891825776040644	0.972074314266131	1	1	1	1	1	0.999264461477529	1	0.30676892575679	1	1	1	0.931684630748934	6.43331370793428e-32	1	1	1	1	1
arthritis, rheumatoid	8.56410578950972e-07	1	1	1	0.999650120848746	1	1	0.995961923877893	1	6.64113293019153e-294	1.14684795825431e-43	1	0.985322840847209	1.24078808793631e-20	1	0.720810998288055	0.119256780806616	1	1	1	1	0.996955760366935	1	0.999854290646802	1	0.923057695877814	1	1	0.973793518609049	0.999999999995412	1	0.999999999990419	1	8.39516345413446e-320	2.92618541885809e-205	1	7.49977304436567e-06	0.999999999999999	0.274948631201775	0.274948631201775	0.539516068708919	1	3.42294069349144e-143	1	0.553710455876497	1	0.973793518609049	6.64113293019153e-294	0.553710455876497	0.999999990509004	4.83741827992264e-13	1	1	8.39516345413446e-320	0.532889615066533	0.995858649084221	0.994563869681252	0.99789007487305	0.999277923386137	1	1	1	0.143227107554033	0.999999999638739	1	1	0.122982035834274	8.39516345413446e-320	1	1	1	1	0.999999444484635
