acinar cell	alveolar epithelial cell	amniotic epithelial cell	astrocyte	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14+ monocyte derived endothelial progenitor cell	chondrocyte	ciliated epithelial cell	corneal epithelial cell	dendritic cell - monocyte immature derived	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hepatic stellate cell	immature langerhans cell	keratinocyte - epidermal	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	melanocyte - light	mesenchymal precursor cell	mesenchymal somatic cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	natural killer cell	neuron	neuronal stem cell	neutrophil	osteoblast	pericyte cell	placental epithelial cell	preadipocyte	reticulocyte	retinal pigment epithelial cell	sensory epithelial cell	skeletal muscle cell	skin fibroblast	small airway epithelial cell	smooth muscle cell of prostate	smooth muscle cell of trachea	stromal cell	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	vascular associated smooth muscle cell
abortion, habitual	1	1	1	1	1	1	1	1	1	0.00552961871368239	1	1	1	0.944046562350853	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00199046759591939	0.999984356523132	1	1	1	1	1	1	1	0.975346341344879	1	1	1	1	0.00552961871368239	1	1	1.2034620575003e-169	1	1	0.999996208139288	1	1	4.66668565401704e-05	1	1	1	1	0.999951529391456	1	1	1	1	0.046709611832627	1.04423422066516e-54	1	1	1	1	1
abortion, spontaneous	1	1	1	0.999999999999958	0.995860262888318	1	1	0.983906890006922	0.999997439169829	0.999315188030354	0.99999931179964	1	1	0.999906293947764	0.999999709680301	0.00912154669654803	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999979905691	1	0.999992677496889	1	0.995804411801172	0.999999999999556	0.935219894037067	0.999999451640917	1	0.999999980416055	0.999999980416055	1	1	0.999999999999993	1	1	1	1	0.999315188030354	1	1	1.32198114079794e-131	1	0.881294818158369	0.99999999999995	0.99999999988881	0.271819957385625	2.17652165567317e-22	1	0.999960718367624	1	1	0.999999999999982	0.999849933789345	0.999999983967673	1	1	0.510422661883556	1.84941534427072e-12	1	1	1	1	0.693742118955068
acne vulgaris	1	1	1	1	1	1	1	1	1	0.582162643923713	1	0.999999961639255	1	0.999797359186651	0.999988896026931	1	1	0.208248150022721	0.485727940448858	0.99752693487452	1	1	1	1	1	0.358021204267126	1	1	0.329352720310598	9.58010131553294e-32	1	1	1	0.999999999999587	0.999999999685988	1	0.997075488952937	0.163999317228717	1	1	1	1	0.999999609126668	1	1	0.999999961639255	0.329352720310598	0.582162643923713	1	1	0.999930279366121	1	1	1.77470126830736e-05	1	1	1	1	0.924211671280554	1	0.999999961639255	1	0.254584368367382	0.992577137849187	1	1	1	1	1	1	1	1	1
acquired hyperostosis syndrome	1	1	1	1	1	1	1	1	1	1	1	0.952174602260369	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.218702662431017	1	1	1	0.638241692682056	1	1	1	1	1	1	1	1	1	1	1	0.952174602260369	1	1	1	1	1	1	1	0.233361679539512	1	1	1	1	1	1	0.952174602260369	1	1	1	1	1	1	0.966520953533074	1	1	1	1	1
acquired immunodeficiency syndrome	1	1	1	0.978331061251392	1	1	1	1	1	3.12090724887656e-49	1	1	0.999840542102807	7.00028575910988e-07	1	1	1	1	0.874674989002637	0.999999999999995	1	1	1	1	1	1	1	1	3.49512133811298e-13	0.999999999999962	1	1	1	9.30485887688384e-26	8.26213483143834e-09	1	1	0.999999999998852	1	1	1	1	3.48126247279335e-05	1	1	1	3.49512133811298e-13	3.12090724887656e-49	1	0.999999976875898	4.7281453822185e-43	1	1	0.999996749353028	1	0.939376689215938	1	1	0.999999999991763	1	1	1	0.999999999999999	0.999999999999999	1	1	1	9.98012604599318e-322	1	1	1	1	1
acromegaly	1	1	1	1	1	1	1	1	0.901714739962797	0.999982030641954	1	1	1	1	0.999847916300815	1	1	1	1	0.990199533106423	1	1	1	1	1	1	1	1	1	1	1	0.9758829786217	1	0.999999999503426	0.99999999999997	1	0.999526684101985	1	1	1	1	1	0.999999999999999	1	1	1	1	0.999982030641954	1	1	0.999809179569508	1	1	0.999999994991404	0.937683025234216	1	1	1	1	1	1	0.986452734449271	1	1	1	1	0.99991933789028	1	1	1	1	1	1
acute coronary syndrome	1	1	1	1	0.00347106300991642	1	1	1	0.346441535404983	0.00470505026642933	1	0.999999999999394	1	0.996074705934005	0.999944718412305	1	1	1	1	0.994245497580452	1	1	1	1	1	1	1	1	1	1	1	0.984292619520358	1	0.999999999998872	0.999299956536709	1	0.351045680488072	1	0.997364674414452	0.997364674414452	1	1	0.935246833102023	1	1	0.999999999999394	1	0.00470505026642933	1	0.866204607903682	0.999603713556605	1	1	0.739385374620116	1	1	1	1	1	1	0.999999999999394	0.99999608077599	1	1	1	1	0.999972743941821	0.999817413074858	1	1	1	1	0.389512575884143
acute myocardial infarction	1	1	0.942597236991676	1	2.36808746792593e-10	1	1	6.91702792729582e-192	9.98012604599318e-322	0.999597039948982	1	1	1	1	1	0.884370969803399	1	1	1	0.999999999999987	1	1	1	0.99999998974728	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999999998	1	4.76690581447187e-119	4.76690581447187e-119	0.0594387324987154	0.19417588297555	0.99996672801068	0.742855408959147	0.127722151261214	1	1	0.999597039948982	0.127722151261214	1.19830881810395e-155	1	1	0.999999997947287	0.00186789002681639	1	0.701385171515543	0.999793545016197	0.999959977958887	1	1	1	7.10929442668734e-12	1	1	1	1	1.2599555215681e-70	1	1	1	1	1	0.994824339968536
acute pancreatitis	2.94885969878225e-188	0.56106106784271	1	1	0.999999903562047	1	1	1	1	0.994957240280976	1	1	1	1	0.99999999946987	1	1	1	1	0.999856225567761	1	1	1	1	1	1	1	0.7460642207108	0.99456945195705	1	1	0.999999920309779	1	0.185827811859415	0.99999997377529	1	0.982274860092212	1	0.999999814918175	0.999999814918175	1	1	1	0.329804448697154	0.632944403628598	1	0.99456945195705	0.994957240280976	0.632944403628598	0.99997545517686	0.999999999999996	1	1	2.90100217133603e-12	1	1	1	1	0.999999907919202	1	1	1	1	0.999999405292812	1	1	0.999999995312109	1	1	1	1	1	1
addison disease	1	1	1	0.987521004786797	1	1	1	1	1	0.998580783923563	1	0.999999999924395	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.964308862985918	1	1	1	0.504343139112941	0.999996849264093	1	0.985891693682241	0.0055026048102378	1	1	1	1	0.999999998344815	1	1	0.999999999924395	1	0.998580783923563	1	1	0.997872075870192	1	1	0.994194036241133	0.983934318177009	1	0.000107338192697431	1	1	1	0.999999999924395	1	0.375568975151288	1	1	1	1	0.978972060114375	1	1	1	1	1
adenocarcinoma pancreas	7.1773893153409e-43	1	0.825626666156901	1	0.605109909706248	0.999527843978303	1	1	1	0.999999999999778	1	1.67316042382916e-09	0.998922340484138	5.08419389337657e-06	0.99999924622561	0.0504208223003354	1	1	0.979828161349596	0.999895462315832	1	1	0.100065826329	1	1	1	1	0.265913439237308	0.997467030342522	0.999999987078709	1	0.999998155293678	1	1	0.999999999891864	1	0.999999997939055	0.999912865249213	0.999941001025813	0.999941001025813	0.934922088563034	1	1	1	0.726733018060948	1.67316042382916e-09	0.997467030342522	0.999999999999778	0.726733018060948	0.999882059384244	0.0115475870219945	1	1	1	1	4.39142983462552e-06	0.833343789262259	0.978978474559739	1	1	1.67316042382916e-09	1	0.99999988482271	0.999999999987628	1	1	5.96900648747355e-38	1	1	1	1	1	1
adenoma of large intestine	0.917854857513566	0.942872235196427	0.990820451723359	1	0.998077891338148	0.999998017670742	1	0.999999990530832	1	0.999999985115367	1	9.98012604599318e-322	0.999999792002656	2.58035283602567e-14	0.999999996581965	0.647097183402432	0.00380746227950177	0.97480731177579	0.896558315190469	1	1	0.999998278718777	0.0326113889968534	0.999999993451373	1	0.99907615989592	1	0.578646219267505	0.999999995360114	1	1	0.999995904293997	1	1	1	0.998554444262682	1	0.999908460429032	0.999999999999916	0.999999999999916	1	1	1	1	0.862102775756978	9.98012604599318e-322	0.999999995360114	0.999999985115367	0.862102775756978	0.999999999937349	2.77380474044561e-93	1	1	1	1	0.157758146825647	0.999832111516247	0.997951589580498	1	1	9.98012604599318e-322	1	0.840085638336701	0.999999989381848	0.304546765593347	1	3.05615314451568e-13	0.756059842373438	1	1	0.99968304434084	1	0.99999999998135
advanced sleep-phase syndrome, familial	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999921602416041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.911349087491432	0.967368142170218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
affective disorders, psychotic	1	1	1	0.998138848115707	0.999999939375893	1	1	1	1	0.99999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99999999999999	1	1	0.999999999999999	1	0.997097761018887	1	1	1	1	1	0.999999588107737	1	1	1	0.998763752862298	1	1	1	1	1	1	1	1	1	1
alcohol abuse	0.299725931117005	0.715641643921412	1	0.999999999673928	0.999999999999864	0.999880922690985	1	0.999924200678766	0.999999999986869	1	1	1	1	1	0.99999999019004	1	1	1	0.990004427099257	0.999999999992567	1	1	1	1	1	1	1	1	0.999999176608694	1	1	0.9999999999999	1	1	1	1	1	0.99999999999021	1	1	1	1	1	1	1	1	0.999999176608694	1	1	1	0.999999964806921	1	0.99999133853565	1	0.999999999998408	1	1	1	0.954218272596993	1	1	0.999999999993563	1	1	1	1	1	1	1	1	1	1	0.99998065950154
alcohol withdrawal delirium	1	1	1	0.814025205950039	1	1	1	1	1	0.658741975286595	1	0.999999999600136	1	1	0.559653201093546	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8960035766151	1	1	1	1	1	1	1	1	0.989808519386549	1	1	0.999999999600136	1	0.658741975286595	1	1	0.419641848883151	0.0229680321660645	1	0.991384636483386	1	1	1	1	1	1	0.999999999600136	1	1	1	1	1	1	0.999996027142099	1	1	1	1	1
alcohol-related disorders	4.23071767658827e-05	0.840206122101341	1	0.999901611836509	1	0.999998106390643	1	0.997950512243354	0.999999999999271	1	1	1	1	1	4.170579829113e-31	1	1	1	0.998789197795789	0.999999999999854	1	1	1	1	1	1	1	5.95260394480067e-23	0.999999998660363	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999998660363	1	1	0.999999863871047	0.999999996922807	1	0.999319965023579	0.999999999956966	1	1	1	1	0.999289348408823	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999866295396
alcoholism	0.299725931117005	0.715641643921412	1	0.999999999673928	0.999999999999864	0.999880922690985	1	0.999924200678766	0.999999999986869	1	1	1	1	1	0.99999999019004	1	1	1	0.990004427099257	0.999999999992567	1	1	1	1	1	1	1	1	0.999999176608694	1	1	0.9999999999999	1	1	1	1	1	0.99999999999021	1	1	1	1	1	1	1	1	0.999999176608694	1	1	1	0.999999964806921	1	0.99999133853565	1	0.999999999998408	1	1	1	0.954218272596993	1	1	0.999999999993563	1	1	1	1	1	1	1	1	1	1	0.99998065950154
allergic asthma	1	0.100821067286293	0.98194202443999	1	1	1.1337729400806e-284	5.15304964326993e-169	1	1	0.00129282621899157	1	0.999999999999237	0.999999848763803	1.87490336243335e-143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.542292528698202	1	1	1	1	0.198543391622825	4.06003825726591e-26	1	9.98012604599318e-322	1	0.999999999999998	0.999999999999998	0.986323654230388	1	0.999999990834582	1	0.949290419693684	0.999999999999237	0.542292528698202	0.00129282621899157	0.949290419693684	0.99999999999937	0.99462801964234	1	1	9.98012604599318e-322	1	0.997236679802548	0.99502475328487	1	1	1	0.999999999999237	1	1	9.98012604599318e-322	1	4.59401439885478e-59	1	9.98012604599318e-322	1	1	7.11561286727473e-12	1	0.999999985390076
alopecia areata	1	1	1	1	1	1	1	0.296441144737785	1	0.773386362462775	1	0.254742488236141	1	0.00215485009629554	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.38754763780333e-10	2.73475131924045e-08	1	1	1	0.204460823667871	0.999644012638148	1	5.1157993639909e-07	6.8697001769966e-15	1	1	1	1	0.999873790723779	1	1	0.254742488236141	2.38754763780333e-10	0.773386362462775	1	1	0.00012136075448857	0.999999999999858	1	0.978318611162316	1	1	1	1	1	1	0.254742488236141	0.975732293442747	0.377719476230427	1	1	1	1	1.54324140257768e-79	1	1	1	1	1
