acinar cell	adipocyte - breast	adipocyte - omental	adipocyte - perirenal	adipocyte - subcutaneous	alveolar epithelial cell	amniotic epithelial cell	amniotic membrane cell	astrocyte	astrocyte - cerebellum	astrocyte - cerebral cortex	basophil	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14-cd16+ monocyte	cd14+ monocyte	cd14+ monocyte derived endothelial progenitor cell	cd14+cd16- monocyte	cd14+cd16+ monocyte	cd4+ t cell	cd4+cd25-cd45ra- memory conventional t cell	cd4+cd25-cd45ra+ naive conventional t cell	cd4+cd25+cd45ra- memory regulatory t cell	cd4+cd25+cd45ra+ naive regulatory t cell	cd8+ t cell	chondrocyte	chorionic membrane cell	ciliated epithelial cell	corneal epithelial cell	dendritic cell	dendritic cell - monocyte immature derived	dendritic cell - plasmacytoid	endothelial cell - aortic	endothelial cell - artery	endothelial cell - microvascular	endothelial cell - thoracic	endothelial cell - umbilical vein	endothelial cell - vein	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of esophagus	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast - dermal	fibroblast - skin dystrophia myotonica	fibroblast - skin normal	fibroblast - skin spinal muscular atrophy	fibroblast - skin walker warburg	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of pulmonary artery	fibroblast of the conjuctiva	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hair follicle dermal papilla cell	hair follicle outer root sheath cell	hepatic stellate cell	hepatocyte	immature langerhans cell	intestinal epithelial cell	iris pigment epithelial cell	keratinocyte	keratinocyte - epidermal	keratinocyte - oral	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	mast cell - stimulated	melanocyte	melanocyte - dark	melanocyte - light	meningeal cell	mesenchymal precursor cell	mesenchymal precursor cell - adipose	mesenchymal precursor cell - bone marrow	mesenchymal precursor cell - cardiac	mesenchymal somatic cell	mesenchymal stem cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesenchymal stem cell - wharton's jelly	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	nasal epithelial cell	natural killer cell	neuron	neuronal stem cell	neutrophil	olfactory epithelial cell	osteoblast	pancreatic stromal cell	pericyte cell	placental epithelial cell	preadipocyte	preadipocyte - breast	preadipocyte - omental	preadipocyte - perirenal	preadipocyte - subcutaneous	preadipocyte - visceral	prostate stromal cell	renal cortical epithelial cell	renal epithelial cell	renal glomerular endothelial cell	renal mesangial cell	renal proximal tubular epithelial cell	respiratory epithelial cell	reticulocyte	retinal pigment epithelial cell	salivary acinar cell	sebocyte	sensory epithelial cell	sertoli cell	skeletal muscle cell	skeletal muscle cell differentiated into myotubes	skeletal muscle satellite cell	skin fibroblast	small airway epithelial cell	smooth muscle cell - aortic	smooth muscle cell - brachiocephalic	smooth muscle cell - brain vascular	smooth muscle cell - carotid	smooth muscle cell - coronary artery	smooth muscle cell - internal thoracic artery	smooth muscle cell - pulmonary artery	smooth muscle cell - subclavian artery	smooth muscle cell - umbilical artery	smooth muscle cell - umbilical vein	smooth muscle cell of prostate	smooth muscle cell of the esophagus	smooth muscle cell of trachea	stromal cell	synoviocyte	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	uterine smooth muscle cell	vascular associated smooth muscle cell
abortion, habitual	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00432895972880107	0.00432895972880107	0.00432895972880107	0.00432895972880107	0.00432895972880107	6.17511050476038e-62	6.17511050476038e-62	4.01844689196277e-32	4.01844689196277e-32	4.01844689196277e-32	0.00012822952029699	1	1	1	1	0.93098003242628	0.93098003242628	0.93098003242628	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00460346258920872	0.999995969603569	1	1	1	1	1	1	1	1	1	0.968020356910165	1	1	1	1	1	0.968020356910165	1	1	1	1	1	0.00432895972880107	1	1	1	1.1129628864802e-155	1	1	0.999995064433789	1	1	1	1	3.97193682124813e-05	1	1	1	0.999999999999997	1	0.999999999999997	1	1	1	1	0.819971732042284	1	1	1	1	1	1	1	1	0.99994375217462	0.999992796825308	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0519907620756785	1	1.39695236265508e-51	1	1	1	1	0.00117376905401625	1
abortion, spontaneous	1	1	1	1	1	1	1	1	0.999999999999923	1	1	0.996355609674299	0.993340617283504	1	1	0.981781323885382	0.999993867590768	0.999068083544206	0.999068083544206	0.999068083544206	0.999068083544206	0.999068083544206	4.38847213584215e-36	4.38847213584215e-36	4.23500274879944e-30	4.23500274879944e-30	4.23500274879944e-30	0.797296646968237	0.999998790525437	1	1	1	0.999959839990432	0.999959839990432	0.999959839990432	1	0.935957464743334	1	1	1	0.887665027534149	0.999998245856377	0.00765562231387419	1	1	1	1	1	1	0.999828218037046	0.999828218037046	0.999828218037046	0.999828218037046	1	1	1	1	1	1	1	1	1	1	1	1	0.999998245856377	1	0.999988118191739	1	0.999999997356535	0.999999997356535	1	1	0.99998894308701	1	0.997247934548239	0.999999999999877	0.930455012604195	0.999999344997546	0.999999344997546	1	1	1	1	0.999999992172845	1	0.999999999999995	1	0.999999992172845	0.999999992172845	1	1	0.999999999999995	1	1	1	1	1	0.999068083544206	1	1	1	3.83828403699952e-118	1	0.929170468988697	0.999999999999993	1	0.999999999745803	1	0.243346507793791	1.86339514636904e-21	1	1	1	1	1	1	1	1	1	1	0.995686905734878	1	0.999999971264956	0.999963861166012	1	1	1	1	0.993967921753334	0.999999999999976	0.999999996282285	1	0.999828218037046	0.999999971264956	1	1	0.113203033571473	1	1	1	1	1	1	1	1	1	1	0.675204271490652	1	1.96264878120914e-10	1	1	1	1	0.0206222937640049	0.65255596793692
acne vulgaris	1	1	1	0.996770882020922	1	1	1	1	1	1	1	0.727800683615004	1	1	1	1	1	0.796977994434615	0.796977994434615	0.796977994434615	0.796977994434615	0.796977994434615	0.999997261235226	0.999997261235226	0.991719323958588	0.991719323958588	0.991719323958588	0.999974851008543	1	1	0.999999908492962	1	0.999703668423535	0.999703668423535	0.999703668423535	1	1	1	1	1	1	0.99997423377053	1	1	1	0.205554306841688	0.479711311219434	0.996770882020922	0.334175574052707	0.244049885465306	0.244049885465306	0.244049885465306	0.244049885465306	1	1	1	1	1	1	1	0.351494417028931	1	1	9.5428877700891e-08	1	0.99997423377053	0.326669940462569	0.888266643497814	1	2.10591005730823e-31	2.10591005730823e-31	1	1	1	1	0.999999999999395	0.999999999789021	1	0.996806632201324	0.996806632201324	0.154778060802826	0.154778060802826	0.154778060802826	1	1	1	0.999999958072145	1	1	1	1	1	0.999999958072145	1	1	1	0.999999908492962	0.326669940462569	0.796977994434615	1	1	1	0.999916044935191	1	1	1.330675102916e-05	1	1	1	1	1	1	1	1	0.999999999999594	1	0.999999999999594	1	1	1	1	1	1	0.990969936425222	0.925199359308197	1	1	1	0.999999908492962	1	1	1	1	0.244049885465306	0.990969936425222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
acquired hyperostosis syndrome	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.937498931251255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.208393316649243	0.208393316649243	1	1	1	1	0.622666043066065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.937498931251255	1	1	1	1	1	1	1	1	0.219944908155272	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.937498931251255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.960841646204618	1	1	1	1	1	1
acquired immunodeficiency syndrome	1	1	1	0.999999999999982	1	1	1	1	0.973987619958999	0.84939064129521	0.994886603367604	0.99966376450525	0.999999999999999	1	1	1	1	1.37727342030306e-48	1.37727342030306e-48	1.37727342030306e-48	1.37727342030306e-48	1.37727342030306e-48	8.39516345413446e-320	8.39516345413446e-320	5.11555955896467e-149	5.11555955896467e-149	5.11555955896467e-149	2.1720392522458e-209	1	1	1	0.999823795548181	3.9062900917669e-07	3.9062900917669e-07	3.9062900917669e-07	1	0.999986252625868	1	1	1	1	1	1	1	0.339271783380991	1	0.873236912126452	0.999999999999982	1	0.999999999999999	0.999999999999999	0.999999999999999	0.999999999999999	1	1	1	1	1	1	1	1	1	1	0.931598810397316	1	1	4.8943426989771e-13	0.999999998305948	1	0.999999999999939	0.999999999999939	0.212050328610667	1	1	1	2.25077466046329e-25	9.41896095137873e-09	1	1	1	0.999999999998718	0.999999999998718	0.999999999998718	0.390086508857888	1	1	6.32469377494977e-05	1	1	1	1	1	6.32469377494977e-05	1	1	1	1	4.8943426989771e-13	1.37727342030306e-48	1	0.99999995378998	1	2.783610095508e-42	1	1	0.999997401097802	1	1	1	0.927518755923316	1	1	1	1	1	1	1	1	1	1	1	0.999861422004681	1	0.999999999999999	0.999999999995227	1	1	1	1	0.999999756807795	1	1	0.966381675237184	0.999999999999999	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.39516345413446e-320	1	1	1	1	1	1
acromegaly	1	1	1	0.988306408351951	0.0979838803884886	1	1	1	1	1	1	0.864356983467008	1	1	1	1	0.88474475542674	0.999979645766998	0.999979645766998	0.999979645766998	0.999979645766998	0.999979645766998	0.999999999992568	0.999999999992568	1	1	1	0.999995694437886	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99972417643673	1	1	1	1	1	0.988306408351951	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99972417643673	1	0.945455637250345	1	1	1	1	1	0.973329599687798	1	0.999999999429283	0.999999999999946	1	0.99951066870994	0.99951066870994	1	1	1	1	1	1	0.999999999999999	1	1	1	1	1	0.999999999999999	1	1	1	1	1	0.999979645766998	1	1	1	0.999792127028998	1	1	0.999999994508599	1	0.928901518918026	1	1	1	1	1	1	0.999999999999913	1	0.999999999999913	1	0.623093796980044	1	1	1	1	1	1	1	1	1	1	1	0.986063654085737	0.980189729363836	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99984999032993	1	1	1	1	1	1	1	1
acute coronary syndrome	1	1	1	0.989535518781663	1	1	1	1	1	1	1	1	0.00128504583278855	1	1	1	0.219604353543602	0.00449518201262044	0.00449518201262044	0.00449518201262044	0.00449518201262044	0.00449518201262044	0.0071947679606362	0.0071947679606362	0.00481912275568337	0.00481912275568337	0.00481912275568337	0.999974947673114	1	1	0.999999999997238	1	0.989917570118676	0.989917570118676	0.989917570118676	1	0.0310073627997085	1	1	0.497575033367791	0.0179932603498149	0.999775209426204	1	1	1	1	1	0.989535518781663	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999775209426204	1	1	1	1	1	1	1	1	1	0.9999999999879	0.998294587723245	1	0.380584276914162	0.380584276914162	1	1	1	1	0.992606067733014	1	0.951765651122153	1	0.992606067733014	0.992606067733014	1	1	0.951765651122153	1	1	1	0.999999999997238	1	0.00449518201262044	1	0.828356187390558	1	0.999838270125119	1	1	0.808436713964688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999997238	1	0.999988808508648	0.721225483365914	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999879589900574	1	0.999841517086617	1	1	1	1	1	0.32844177236129
acute pancreatitis	3.95619262789659e-156	1	1	0.99969536577503	0.453329521061882	0.532031593419698	1	1	1	1	1	1	0.999999975999384	1	1	1	1	0.994770308960614	0.994770308960614	0.994770308960614	0.994770308960614	0.994770308960614	0.999448639691198	0.999448639691198	0.859841375031621	0.859841375031621	0.859841375031621	0.999999997409403	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999997730526	1	1	1	1	1	0.99969536577503	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.684595145504043	0.999999997730526	0.994437531140789	0.6301599732547	1	0.999999999999999	0.999999999999999	1	1	0.999999986516687	1	0.217820177686758	0.999999992008567	1	0.991435356828097	0.991435356828097	1	1	1	1	0.999999883338953	1	1	1	0.999999883338953	0.999999883338953	1	1	1	0.307925672993056	0.579604168907684	1	1	0.994437531140789	0.994770308960614	0.579604168907684	0.99995763693292	1	0.999999999999992	1	1	2.79780213761061e-11	1	1	1.57071128541585e-08	1	1	1	1	1	1	1	1	1	1	0.996118898852595	1	1	1	0.999998767439578	0.99999991670387	1	1	1	1	1	1	1	1	1	0.999998767439578	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999997877516	1	1	1	1	1	1	1	1
addison disease	1	1	1	1	1	1	1	1	0.986980137489686	1	0.62333008813055	1	1	1	1	1	1	0.998561126269573	0.998561126269573	0.998561126269573	0.998561126269573	0.998561126269573	0.947850224300707	0.947850224300707	0.517795527978275	0.517795527978275	0.517795527978275	0.998041181488238	1	1	0.999999999755271	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.375427051641903	0.375427051641903	0.375427051641903	0.375427051641903	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.96299327731676	0.96299327731676	1	1	1	1	0.506272391620856	0.999996336167783	1	0.986061996277639	0.986061996277639	0.00538569967148251	0.00538569967148251	0.00538569967148251	1	1	1	0.999999998345641	1	1	1	1	1	0.999999998345641	1	1	1	0.999999999755271	1	0.998561126269573	1	1	1	0.997855267760058	1	1	0.994338321517899	1	0.982530749341656	1	1	0.000101070831215762	1	1	1	0.99998638531248	1	0.99998638531248	1	1	1	1	1	1	1	1	1	1	1	0.999999999755271	1	1	1	1	0.375427051641903	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.990505312559619	1	1	1	1	1	1
adenoma of large intestine	0.000185712263190058	1	1	0.999999998754324	1	0.0170724863405462	0.922413413526384	1	1	1	1	0.989305663251747	0.999999983919856	0.676618605915749	1	0.999991533762586	1	1	1	1	1	1	1	1	0.999999996356037	0.999999996356037	0.999999996356037	0.999999999999369	0.999999999999937	1	0.455204122688713	1	1	1	1	1	0.9999976380874	0.930081183782068	1	1	1	0.999999900300782	0.68495357428009	1	0.688201271384179	0.054672037382234	0.680723301723319	0.999999998754324	1	0.985724842124018	0.985724842124018	0.985724842124018	0.985724842124018	1	0.999279603674822	1	0.999965497444185	1	1	1	1	1	1	0.374969417395509	1	0.999999900300782	0.991759428299059	1.81767890283572e-29	1	1	1	0.980784371454834	1	0.99999970375838	1	1	1	0.786224292362328	0.999999999994632	0.999999999994632	0.86428641154393	0.86428641154393	0.86428641154393	1	1	1	1	1	1	1	1	1	1	1	1	1	0.455204122688713	0.991759428299059	1	1	0.999999933299968	1	0.999999999999616	1	0.99995386120791	1	1	1	0.000201280789472377	0.376720250383797	0.948965900602196	0.975088934960296	0.781879473935368	1	1	1	1	1	0.999984783947162	0.98237590321715	1	1	0.989766417670322	0.294042135687767	1	1	0.201847887278601	1	0.455204122688713	0.975729130057119	1	1	1	0.985724842124018	0.294042135687767	1	1	1	1	1	1	1	1	1	1	1	1	1	4.01243120301372e-05	1	1	1	1	0.979496486204171	1	1	1
